"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20130101 ~ 20131231"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","1209-3","1209","0003","삼성파크빌B동(1209-3)","59.94","40.76","201307","10","30,500","3","2003","개포로34길 12",""
"서울특별시 강남구 개포동","1176-1","1176","0001","삼우파크","35.59","16.35","201311","28","18,000","4","1993","논현로8길 46-8",""
"서울특별시 강남구 개포동","1176-1","1176","0001","삼우파크","36.75","16.88","201312","11","15,600","2","1993","논현로8길 46-8",""
"서울특별시 강남구 개포동","1201-3","1201","0003","삼원아트빌라","65.02","27.58","201301","22","24,000","2","1992","개포로22길 45-10",""
"서울특별시 강남구 개포동","1208-1","1208","0001","새롬아트빌라","33.12","15.34","201312","20","10,000","-1","1994","개포로32길 16",""
"서울특별시 강남구 개포동","1208-1","1208","0001","새롬아트빌라","42.69","19.77","201312","20","15,000","-1","1994","개포로32길 16",""
"서울특별시 강남구 개포동","165-1","0165","0001","서진주택C동(165-1)","36.9","29.25","201305","24","23,250","-1","1987","선릉로10길 14-4",""
"서울특별시 강남구 개포동","1227-5","1227","0005","서초빌라","68.15","31.57","201311","22","33,000","2","1999","논현로16길 10-12",""
"서울특별시 강남구 개포동","1193-4","1193","0004","쉐라,빌","71.44","39.27","201303","13","34,000","4","2003","논현로12길 10",""
"서울특별시 강남구 개포동","1193-4","1193","0004","쉐라,빌","47.96","26.36","201304","29","28,000","2","2003","논현로12길 10",""
